Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,-0.252,19,3,-0.172,1,-0.315,8,-0.157,1,-0.281,1,-0.329,5,-0.208,31,0.118,32,-0.056
SF,2,-0.203,24,4,-0.157,2,-0.24,9,-0.154,2,-0.179,2,-0.205,14,-0.144,28,0.089,13,0.008
PIT,3,-0.178,14,1,-0.24,3,-0.15,4,-0.21,3,-0.164,4,-0.148,7,-0.183,24,0.077,16,0
MIN,4,-0.123,3,6,-0.143,5,-0.109,12,-0.144,5,-0.124,6,-0.095,9,-0.167,3,0.029,8,0.017
BAL,5,-0.115,4,2,-0.178,4,-0.129,21,-0.094,4,-0.156,3,-0.186,17,-0.11,23,0.076,30,-0.051
TB,6,-0.105,32,5,-0.155,13,0.022,1,-0.347,7,-0.112,11,0.012,1,-0.348,20,0.066,6,0.024
BUF,7,-0.099,2,7,-0.127,6,-0.105,22,-0.09,6,-0.12,5,-0.139,19,-0.094,14,0.056,31,-0.056
NO,8,-0.071,8,8,-0.093,10,-0.006,5,-0.196,8,-0.083,8,-0.007,4,-0.227,6,0.046,14,0.003
LAR,9,-0.061,16,9,-0.057,8,-0.017,17,-0.118,13,-0.027,10,0.007,22,-0.069,29,0.096,2,0.035
CHI,10,-0.058,1,10,-0.057,11,0.006,10,-0.147,12,-0.03,14,0.046,15,-0.135,4,0.037,1,0.037
NYJ,11,-0.042,22,11,-0.052,20,0.123,2,-0.294,9,-0.061,17,0.099,2,-0.306,18,0.061,27,-0.037
PHI,12,-0.031,15,12,-0.048,15,0.081,3,-0.217,11,-0.033,16,0.097,3,-0.248,30,0.11,24,-0.02
DEN,13,-0.028,6,13,-0.043,14,0.06,15,-0.137,14,-0.014,18,0.1,11,-0.155,25,0.078,4,0.032
KC,14,-0.026,27,14,-0.042,7,-0.039,26,-0.007,16,-0.002,9,0,26,-0.005,17,0.061,9,0.016
GB,15,-0.009,29,16,-0.008,9,-0.014,27,-0.004,15,-0.012,7,-0.028,28,0.01,26,0.081,17,-0.002
DAL,16,0.007,9,17,0.015,17,0.103,14,-0.138,10,-0.039,13,0.043,10,-0.162,21,0.071,28,-0.046
ATL,17,0.014,30,15,-0.022,21,0.124,13,-0.14,20,0.053,22,0.155,20,-0.088,19,0.062,7,0.023
TEN,18,0.019,18,20,0.028,22,0.125,11,-0.145,17,0.006,19,0.109,12,-0.154,1,0.019,22,-0.009
IND,19,0.03,11,19,0.028,19,0.115,18,-0.11,18,0.026,21,0.121,16,-0.129,16,0.059,19,-0.006
ARI,20,0.04,12,18,0.019,26,0.177,6,-0.175,24,0.078,28,0.251,6,-0.193,13,0.056,10,0.016
SEA,21,0.041,17,22,0.038,16,0.094,23,-0.043,19,0.039,15,0.077,25,-0.02,11,0.053,12,0.009
HOU,22,0.056,5,24,0.095,25,0.159,19,-0.101,23,0.075,25,0.171,21,-0.071,8,0.051,3,0.035
DET,23,0.065,21,26,0.11,28,0.205,16,-0.136,21,0.072,27,0.223,13,-0.146,5,0.041,11,0.012
CLE,24,0.066,13,27,0.116,18,0.105,30,0.019,25,0.08,20,0.121,30,0.032,7,0.05,26,-0.024
LAC,25,0.072,10,21,0.036,23,0.141,25,-0.012,22,0.075,24,0.157,23,-0.027,2,0.025,18,-0.004
CAR,26,0.08,23,29,0.136,12,0.019,32,0.159,28,0.095,12,0.042,32,0.163,10,0.052,5,0.031
WAS,27,0.089,20,23,0.086,27,0.189,24,-0.025,26,0.085,26,0.177,24,-0.021,9,0.051,20,-0.007
NYG,28,0.115,25,25,0.099,30,0.331,7,-0.165,27,0.093,29,0.295,8,-0.169,22,0.073,25,-0.022
JAX,29,0.123,7,31,0.184,24,0.146,31,0.093,29,0.125,23,0.155,31,0.087,32,0.147,15,0.001
CIN,30,0.156,28,28,0.122,29,0.305,28,-0.003,30,0.155,30,0.3,27,0,15,0.058,23,-0.013
OAK,31,0.158,31,30,0.161,31,0.332,20,-0.098,31,0.156,31,0.333,18,-0.105,27,0.085,21,-0.008
MIA,32,0.23,26,32,0.209,32,0.434,29,0.009,32,0.214,32,0.397,29,0.016,12,0.054,29,-0.047
